conf,precision,recall,f1,missed heads,false alarms
0.05,0.6190476190476191,0.9685430463576159,0.7553260167850226,19,360
0.1,0.7144607843137255,0.9652317880794702,0.8211267605633803,21,233
0.15,0.7848443843031123,0.9602649006622517,0.8637379002233805,24,159
0.2,0.821173104434907,0.9503311258278145,0.8810437452033767,30,125
0.25,0.8524096385542169,0.9370860927152318,0.8927444794952683,38,98
0.3,0.8828125,0.9354304635761589,0.9083601286173631,39,75
0.35,0.8977272727272727,0.9155629139072847,0.9065573770491803,51,63
0.4,0.9148580968280468,0.9072847682119205,0.9110556940980882,56,51
0.45,0.9263698630136986,0.8956953642384106,0.9107744107744108,63,43
0.5,0.9420035149384886,0.8874172185430463,0.9138959931798807,68,33
0.55,0.9468864468864469,0.8559602649006622,0.8991304347826087,87,29
0.6,0.9555984555984556,0.8195364238410596,0.8823529411764707,109,23
0.65,0.9711934156378601,0.7814569536423841,0.8660550458715596,132,14
0.7,0.9772727272727273,0.7119205298013245,0.8237547892720306,174,10
0.75,0.989010989010989,0.5960264900662252,0.7438016528925621,244,4
0.8,0.9909502262443439,0.36258278145695366,0.530909090909091,385,2
0.85,1.0,0.06456953642384106,0.12130637636080871,565,0
0.9,0.0,0.0,0.0,604,0
